Address	Transfervalue Beds  Baths BuildingArea LotArea YearBuilt Pool	Age	Lvalue	 	          Acre	       LotArea	Lacre	    Condition
5200CherylAve	835000	4	3	2295	10097	1975	0	38	13.635187		0.05268595	10097	0.231795225	1
1714RoyalBlvd	795000	3	2	1907	12344	1957	0	56	13.58609739		0.043778696	12344	0.283379247	1
1636BenLomondDr	939000	4	4	2426	9693	1928	1	85	13.75257076		0.055693297	9693	0.222520661	1
3123HermosaAve	520000	2	1	1210	4943	1937	0	76	13.16158409		0.027777778	4943	0.113475666	0
1664BenLomondDr	685000	3	2	1919	9210	1926	1	87	13.43717412		0.044054178	9210	0.211432507	0
2935PiedmontAve	570000	3	2	1370	4383	1953	0	60	13.25339164		0.031450872	4383	0.100619835	0
900CalleSimpatico 860000 4	3	2618	5826	1990	0	23	13.66468767		0.06010101	5826	0.133746556	1
942CalleSimpatico 1350000 4	3	3092	10400	1990	0	23	14.11561515		0.070982553	10400	0.238751148	1
531NolanAve	825000	3	3	2900	11655	1981	1	32	13.62313867		0.066574839	11655	0.267561983	0
904BurchettSt	455000	2	1	1100	7686	1941	0	72	13.0280527		0.025252525	7686	0.176446281	0
1857WMountainSt	831773	3	3	2772	8853	1980	1	33	13.63131485		0.063636364	8853	0.203236915	1
690ArdenAve	542500	2	2	1450	5736	1937	0	76	13.20394336		0.03328742	5736	0.131680441	0
1551ElMiraderoAve 745000 3	2	1780	6218	1940	0	73	13.5211395		0.040863177	6218	0.142745638	1
1421ValaneDr	1095000	4	4	3312	17425	2010	0	3	13.90626492		0.076033058	17425	0.400022957	1
1830ArvinDr	500000	3	2	1708	7456	1941	0	72	13.12236338		0.039210285	7456	0.171166208	0
1928RimcrestDr	1300000	3	3	3083	10104	1979	0	34	14.07787482		0.070775941	10104	0.231955923	1
3020SycamoreAve	550000	2	2	1213	6551	1952	0	61	13.21767356		0.027846648	6551	0.150390266	0
1537CedarhillRd	1080000	3	4	2655	10375	1956	1	57	13.8924716		0.060950413	10375	0.238177227	1
2401HermositaDr	949000	4	3	2470	11578	1923	1	90	13.76316408		0.056703398	11578	0.265794307	1
1626MorenoDr	789000	4	3	2152	8864	1951	1	62	13.5785216		0.049403122	8864	0.20348944	1
1989CalafiaSt	1400000	5	5	4648	1.5	2001	0	12	14.15198279		0.106703398	1.5	3.44353E-05	1
1540GlenwoodRd	1000000	3	3	2727	18755	1912	1	101	13.81551056		0.062603306	18755	0.430555556	1
1341RossmoyneAve 1070000 4	4	2917	7128	1930	0	83	13.88316921		0.066965106	7128	0.163636364	1
1334SinaloaDr	845000	3	3	1928	5816	1927	1	86	13.64709191		0.04426079	5816	0.133516988	1
1635DonCarlosAve 1175000 2	2	2511	13986	1921	1	92	13.97677871		0.057644628	13986	0.32107438	1
1561VirginiaAve	1910019	4	5	4298	26838	1925	1	88	14.46262375		0.098668503	26838	0.616115702	1
2032EdenAve	550000	2	2	1542	7619	1946	0	67	13.21767356		0.035399449	7619	0.174908173	1
37353rdAve	366500	1	1	608	3900	1925	0	88	12.8117538		0.013957759	3900	0.08953168	0
915StewartonWay	765000	3	2	1938	11053	1973	0	40	13.54763111		0.044490358	11053	0.253741965	1
947NJacksonSt	680000	3	2	1961	7856	1932	1	81	13.42984808		0.045018365	7856	0.180348944	1
1275ElmAve	360000	1	1	432	2472	1924	0	89	12.79385931		0.009917355	2472	0.056749311	0
3957SantaCarlottaSt 635000 3	2	1644	8312	1940	0	73	13.36138028		0.037741047	8312	0.190817264	1
2264EGlenoaksBlvd 676000 3	2	1855	6790	1930	0	83	13.42394836		0.04258494	6790	0.155876951	1
4712NewYorkAve	625000	2	1	942	6064	1947	0	66	13.34550693		0.021625344	6064	0.139210285	1
3816ElCaminito	775000	4	3	1937	7574	1958	0	55	13.56061831		0.044467401	7574	0.173875115	0
3681UrquidezAve	625000	2	2	1216	5427	1952	0	61	13.34550693		0.027915519	5427	0.124586777	0
1317AlamedaAve	540000	2	1	1306	9190	1941	0	72	13.19932442		0.029981635	9190	0.21097337	1
630HaverkampDr	870000	3	2	2271	18961	1974	0	39	13.67624849		0.052134986	18961	0.435284665	1
1012CalleContento 990000 4	3	2777	5657	1990	0	23	13.80546022		0.063751148	5657	0.12986685	1
3300ParkVistaDr	850000	4	3	2406	17893	1977	1	36	13.65299163		0.05523416	17893	0.410766758	0
2069WMountainSt	1006500	3	3	2699	17998	1924	1	89	13.82198952		0.061960514	17998	0.413177227	1
992CalleAmable	814500	4	3	2615	4099	1989	0	24	13.61032971		0.06003214	4099	0.094100092	1
2532GardnerPl	855000	2	4	2457	19852	1951	0	62	13.65885675		0.056404959	19852	0.45573921	1
982CalleBella	910000	4	3	2528	4956	1989	0	24	13.72119988		0.058034894	4956	0.113774105	1
3025CountryClubDr 1070000 3	4	3079	11069	1948	0	65	13.88316921		0.070684114	11069	0.254109275	1
319WonderviewDr	1045010	3	3	2470	18484	1974	1	39	13.85953701		0.056703398	18484	0.424334252	1
3104PetersCir	420000	2	3	2081	8972	1971	0	42	12.94800999		0.047773186	8972	0.205968779	1
1410GrandviewAve 500000	3	1	1200	6073	1936	0	77	13.12236338		0.027548209	6073	0.139416896	1
1421NColumbusAve 750000	4	3	1798	7414	1923	1	90	13.52782849		0.0412764	7414	0.17020202	1
1500MelwoodDr	1800000	7	3	4342	13670	1928	1	85	14.40329722		0.099678604	13670	0.313820018	1
1127NJacksonSt	683000	3	2	1812	6611	1936	0	77	13.43425014		0.041597796	6611	0.151767677	0
1616VistaDr	957500	4	3	2806	9598	1940	0	73	13.772081		0.064416896	9598	0.220339761	1
4409LowellAve	555000	3	2	1866	13066	1951	1	62	13.22672339		0.042837466	13066	0.299954086	0
1816OakwoodAve	503000	3	2	1494	6393	1932	0	81	13.12834545		0.034297521	6393	0.146763085	0
1517HillsideDr	800000	5	6	3548	14067	2005	1	8	13.59236701		0.081450872	14067	0.322933884	1
3113HermosaAve	512000	2	1	1045	5006	1950	0	63	13.1460799		0.023989899	5006	0.114921947	0
3336EncinalAve	520000	3	2	1457	5954	1954	0	59	13.16158409		0.033448118	5954	0.136685032	0
136VirginiaAve	1198000	4	1	2578	14512	1928	0	85	13.99616406		0.059182736	14512	0.333149679	0
666RobinGlenDr	982000	3	4	3104	12526	1962	1	51	13.79734659		0.071258035	12526	0.287557392	0
960CalleDelPacifico 958000 4	3	2618	5639	1989	0	24	13.77260306		0.06010101	5639	0.129453627	1
37112ndAve	510000	3	1	1070	4101	1925	0	88	13.142166		0.02456382	4101	0.094146006	0
925ChudleighLn	839000	3	3	2343	11350	1969	1	44	13.63996599		0.053787879	11350	0.260560147	0
619CalebSt	545000	3	3	2051	7627	1965	0	48	13.20854107		0.047084481	7627	0.175091827	1
2323BlackmoreDr	531000	2	2	1482	10809	1967	0	46	13.1825173		0.034022039	10809	0.248140496	0
1837WMountainSt	1200000	3	3	3100	11127	1946	1	67	13.99783211		0.071166208	11127	0.255440771	1
1901HamptonLn	955000	3	2	2574	11961	1926	1	87	13.76946662		0.059090909	11961	0.274586777	1
1110OberlinDr	638000	3	2	1910	4918	1964	0	49	13.36609356		0.043847567	4918	0.112901745	0
1019CalleAzul	1200000	4	4	2984	5718	1989	0	24	13.99783211		0.068503214	5718	0.131267218	1
1303SwarthmoreDr 645000	4	5	3280	22939	1969	0	44	13.3770056		0.075298439	22939	0.526606979	1
1981ShererLn	850000	5	3	2895	10130	1963	1	50	13.65299163		0.066460055	10130	0.232552801	1
905CalleSimpatico 1050000 4	3	2618	5125	1990	0	23	13.86430072		0.06010101	5125	0.117653811	1
1400ElmAve	450000	2	2	1445	6779	1939	1	74	13.01700286		0.033172635	6779	0.155624426	0
3034ManhattanAve 575000	3	2	1350	4421	1985	0	28	13.26212532		0.030991736	4421	0.101492195	0
813GlenviewRd	705000	2	2	1790	7490	1926	0	87	13.46595308		0.041092746	7490	0.17194674	0
4904TrendTer	849000	4	3	2235	7766	1964	1	49	13.65181447		0.05130854	7766	0.178282828	1
1667SantaBarbaraAve 830000 2	2	1798	8698	1937	1	76	13.62918098		0.0412764	8698	0.199678604	1
1960ShererLn	700000	4	2	1737	1.28	1965	1	48	13.45883561		0.039876033	1.28	2.93848E-05	0
2959HermositaDr	1028000	3	2	2495	9605	1933	1	80	13.84312572		0.057277319	9605	0.220500459	1
3069ManhattanAve 405698	2	1	791	4214	1947	0	66	12.91336432		0.018158861	4214	0.096740129	0
1017WMountainSt	630000	2	1	1050	9452	1952	1	61	13.3534751		0.024104683	9452	0.216988062	0
2348EastgatePl	608000	4	2	2116	8936	1965	0	48	13.31793016		0.048576676	8936	0.205142332	0
4104LowellAve	699000	2	2	916	19508	1948	0	65	13.45740602		0.021028466	19508	0.447842057	0
3243LosOlivosLn	750000	4	2	2130	5070	1977	0	36	13.52782849		0.048898072	5070	0.116391185	0
3726MayfieldAve	531000	4	2	2268	5619	1987	0	26	13.1825173		0.052066116	5619	0.12899449	0
3156BeaudryTer	855000	3	2	1891	8881	1974	0	39	13.65885675		0.043411387	8881	0.203879706	1
4814DunsmoreAve	500000	2	2	1637	12003	1951	0	62	13.12236338		0.037580349	12003	0.275550964	1
1356DoverwoodDr	1410000	4	3	2790	40694	1981	1	32	14.15910026		0.064049587	40694	0.934205693	1
